time,eu_24,eu_17
2025-04-19 19:25:00,611.802,668.2464
2025-04-19 19:30:00,402.616,440.6912
2025-04-19 19:35:00,245.502,264.82
2025-04-19 19:40:00,155.56050000000002,122.2902
2025-04-19 19:45:00,74.3941,47.220600000000005
2025-04-20 06:50:00,61.179,30.5145
2025-04-20 06:55:00,67.24,46.718
2025-04-20 07:00:00,67.84700000000001,47.099500000000006
2025-04-20 07:05:00,102.2415,67.848
2025-04-20 07:10:00,133.908,114.6072
2025-04-20 07:15:00,168.545,141.7584
2025-04-20 07:20:00,248.6548,202.143
2025-04-20 07:25:00,270.54400000000004,258.9928
2025-04-20 07:30:00,275.8726,265.62120000000004
2025-04-20 07:35:00,333.76,271.152
2025-04-20 07:40:00,334.24,330.4511
2025-04-20 07:45:00,333.845,290.4048
2025-04-20 07:50:00,353.05420000000004,316.0797
2025-04-20 07:55:00,403.812,341.305
2025-04-20 08:00:00,404.22,389.5779
2025-04-20 08:05:00,464.2734,409.686
2025-04-20 08:10:00,476.238,473.0156999999999
2025-04-20 08:15:00,479.16399999999993,442.676
2025-04-20 08:20:00,478.45,469.4828999999999
2025-04-20 08:25:00,466.2284,478.534
2025-04-20 08:30:00,475.832,477.183
2025-04-20 08:35:00,475.916,451.3674
2025-04-20 08:40:00,514.4775,480.4169999999999
2025-04-20 08:45:00,527.6964,481.481
2025-04-20 08:50:00,492.192,431.1914
2025-04-20 08:55:00,490.0464,459.6066
2025-04-20 09:00:00,478.156,431.6382
2025-04-20 09:05:00,539.5542,485.002
2025-04-20 09:10:00,567.8943,535.0807
2025-04-20 09:15:00,615.636,555.0880000000001
2025-04-20 09:20:00,558.8514000000001,524.6584
2025-04-20 09:25:00,381.1761,339.275
2025-04-20 09:30:00,478.513,424.3094
2025-04-20 09:35:00,527.6656,476.4243
2025-04-20 09:40:00,550.024,497.4192
2025-04-20 09:45:00,660.5856,597.2098
2025-04-20 09:50:00,638.6403,587.894
2025-04-20 09:55:00,497.0643,446.472
2025-04-20 10:00:00,425.4768,347.1876
2025-04-20 10:05:00,515.0368,453.3078
2025-04-20 10:10:00,461.8288,413.22
2025-04-20 10:15:00,444.4836,379.8368
2025-04-20 10:20:00,365.3046000000001,310.3482
2025-04-20 10:25:00,355.0629,293.862
2025-04-20 10:30:00,355.63530000000003,306.19800000000004
2025-04-20 10:35:00,355.6883,319.7316
2025-04-20 10:40:00,405.372,339.575
2025-04-20 10:45:00,370.898,304.1055
2025-04-20 10:50:00,356.85960000000006,303.4755
2025-04-20 10:55:00,404.874,367.8534
2025-04-20 11:00:00,369.7595,327.2016
2025-04-20 11:05:00,410.103,386.2947
2025-04-20 11:10:00,524.8089,449.9616
2025-04-20 11:15:00,627.5454,575.7876
2025-04-20 11:20:00,681.29,640.1283
2025-04-20 11:25:00,733.5813,691.53
2025-04-20 11:30:00,686.1839,629.1467
2025-04-20 11:35:00,852.05,808.4934
2025-04-20 11:40:00,898.0443,847.2978
2025-04-20 11:45:00,695.9970000000001,648.2239999999999
2025-04-20 11:50:00,502.5044,462.5088
2025-04-20 11:55:00,540.4627,512.2275
2025-04-20 12:00:00,647.2444999999999,615.7800000000001
2025-04-20 12:05:00,537.4923,492.8544
2025-04-20 12:10:00,507.1575,455.7005
2025-04-20 12:15:00,656.5824,624.4380000000001
2025-04-20 12:20:00,734.8968000000001,687.16
2025-04-20 12:25:00,544.624,505.3164
2025-04-20 12:30:00,478.2702,441.818
2025-04-20 12:35:00,527.4672,464.0660000000001
2025-04-20 12:40:00,442.3122,400.5274
2025-04-20 12:45:00,496.1518,460.2512
2025-04-20 12:50:00,355.7254,334.131
2025-04-20 12:55:00,467.53,422.251
2025-04-20 13:00:00,854.5625,790.8089999999999
2025-04-20 13:05:00,1131.5016,1039.77
2025-04-20 13:10:00,1129.8834,1046.7017999999998
2025-04-20 13:15:00,1137.2625,1083.1245
2025-04-20 13:20:00,1034.2745,987.3721
2025-04-20 13:25:00,1027.1464,1002.269
2025-04-20 13:30:00,805.3109999999999,752.8194
2025-04-20 13:35:00,861.4494000000001,841.1232
2025-04-20 13:40:00,929.492,900.9918
2025-04-20 13:45:00,985.5936,940.44
2025-04-20 13:50:00,959.3217,918.8648
2025-04-20 13:55:00,891.7563,875.3221000000001
2025-04-20 14:00:00,746.383,717.045
2025-04-20 14:05:00,737.7156000000001,701.3928
2025-04-20 14:10:00,741.1346000000001,707.7954
2025-04-20 14:15:00,796.4775,752.1436
2025-04-20 14:20:00,671.8338,628.3048000000001
2025-04-20 14:25:00,508.14,451.3806
2025-04-20 14:30:00,571.3427999999999,542.7379
2025-04-20 14:35:00,674.7344999999999,641.6063999999999
2025-04-20 14:40:00,937.7376,892.0866
2025-04-20 14:45:00,910.7712,845.1945
2025-04-20 14:50:00,843.7456000000001,804.9132
2025-04-20 14:55:00,770.4339999999999,742.1112
2025-04-20 15:00:00,838.0851,806.1996
2025-04-20 15:05:00,759.528,709.9456
2025-04-20 15:10:00,785.2155999999999,726.1212
2025-04-20 15:15:00,549.6336,489.0693
2025-04-20 15:20:00,584.5334,549.392
2025-04-20 15:25:00,711.0600000000001,654.4739999999999
